text,label
"I forgot my password and need it reset to log in","Password Reset"
"My password expired this morning and I can't sign in","Password Reset"
"Please reset my password, I've been locked out of the login screen","Password Reset"
"How do I change my password? The old one no longer works","Password Reset"
"I need a password reset for my corporate email account","Password Reset"
"Can you reset my Windows password? I can't remember it","Password Reset"
"My password isn't working even though I'm typing it correctly, please reset it","Password Reset"
"Requesting a password reset for the finance application","Password Reset"
"I changed my password yesterday and now I can't remember the new one","Password Reset"
"The self-service password reset portal isn't sending me a code","Password Reset"
"Need my domain password reset, it says password incorrect","Password Reset"
"Forgot my password after vacation, please help me reset it","Password Reset"
"My temporary password isn't working, can I get a new password reset","Password Reset"
"I want to reset my password because it might be compromised","Password Reset"
"My account is locked after too many failed login attempts","Account Lockout"
"I'm locked out of my computer, it says account locked","Account Lockout"
"Please unlock my account, I entered the wrong password too many times","Account Lockout"
"My Active Directory account is locked and I can't access anything","Account Lockout"
"Account lockout after I mistyped my password, need it unlocked","Account Lockout"
"I keep getting an account locked message every morning","Account Lockout"
"My account got disabled and I can't log in anywhere","Account Lockout"
"Locked out of my email, it says account temporarily locked","Account Lockout"
"Unlock request: my user account is locked in Active Directory","Account Lockout"
"I'm locked out again, this happens right after I change my password","Account Lockout"
"System says my account is locked due to security policy","Account Lockout"
"Cannot sign in, my account is locked, please unlock it urgently","Account Lockout"
"My login is locked after returning from leave","Account Lockout"
"Account is locked and the unlock link is not working","Account Lockout"
"My Outlook is not syncing and I cannot receive emails","Microsoft 365 / Outlook"
"Outlook keeps asking for my password and won't connect","Microsoft 365 / Outlook"
"I can't send emails from Outlook, they're stuck in the outbox","Microsoft 365 / Outlook"
"My mailbox is full and I can't receive new messages","Microsoft 365 / Outlook"
"Outlook calendar invites are not showing up","Microsoft 365 / Outlook"
"Microsoft 365 says my license has expired","Microsoft 365 / Outlook"
"Emails are going to junk instead of my inbox in Outlook","Microsoft 365 / Outlook"
"Outlook crashes every time I open a meeting invite","Microsoft 365 / Outlook"
"My shared mailbox is missing from Outlook","Microsoft 365 / Outlook"
"Can't access my email on the Microsoft 365 web portal","Microsoft 365 / Outlook"
"Outlook search is not returning any results","Microsoft 365 / Outlook"
"My Outlook signature disappeared after the last update","Microsoft 365 / Outlook"
"Not receiving external emails in Outlook since this morning","Microsoft 365 / Outlook"
"Microsoft 365 sign-in loop, it keeps redirecting me","Microsoft 365 / Outlook"
"Microsoft Teams won't let me join meetings, audio is not working","Teams / OneDrive"
"My OneDrive files are not syncing to the cloud","Teams / OneDrive"
"Teams chat messages are not sending","Teams / OneDrive"
"OneDrive says storage is full and stopped syncing","Teams / OneDrive"
"I can't share my screen in Teams meetings","Teams / OneDrive"
"Teams keeps crashing when I start a video call","Teams / OneDrive"
"My OneDrive folder shows a red X and won't upload files","Teams / OneDrive"
"Can't hear anyone in Teams, my microphone isn't detected","Teams / OneDrive"
"Teams desktop notifications are not appearing","Teams / OneDrive"
"OneDrive files are missing after I moved computers","Teams / OneDrive"
"I was removed from a Teams channel and need access back","Teams / OneDrive"
"The Teams meeting recording is not available in OneDrive","Teams / OneDrive"
"OneDrive is stuck on processing changes and won't finish","Teams / OneDrive"
"Unable to log into Teams, it says we couldn't connect you","Teams / OneDrive"
"I have no internet connection at my desk","Network / Wi-Fi"
"The office Wi-Fi keeps dropping every few minutes","Network / Wi-Fi"
"My laptop won't connect to the corporate Wi-Fi","Network / Wi-Fi"
"The network is very slow across the whole floor","Network / Wi-Fi"
"Ethernet cable is plugged in but there's no network connection","Network / Wi-Fi"
"Wi-Fi shows connected but there is no internet access","Network / Wi-Fi"
"I can't reach any internal websites, the network seems down","Network / Wi-Fi"
"The Wi-Fi password isn't working on my phone","Network / Wi-Fi"
"My network drops whenever I join a video call","Network / Wi-Fi"
