text,label
CAN I GET EXPEDITED SHIPPING? THANK YOU.,shipping
I have a suggestion for improvement Please help!,general
I want to change my username,account
The billing date is incorrect on my account,billing
can i get expedited shipping? please help!,shipping
"HI, THE DELIVERY DATE KEEPS CHANGING",shipping
"Hi, the tracking number shows delivered but i didn't get it",shipping
"HI, THE WEBSITE IS LOADING VERY SLOWLY",technical
my credit card was charged twice for the same order please help!,billing
i can't activate my account i've been waiting for a response.,account
"hi, i need to cancel my order before it ships",shipping
CAN I GET A PRORATED REFUND? PLEASE HELP!,billing
I received someone else's order,shipping
"Hi, i need to update my payment method",billing
The tracking number shows delivered but I didn't get it,shipping
"HI, CAN I GET EXPEDITED SHIPPING?",shipping
"HI, HOW DO I CONTACT CUSTOMER SUPPORT?",general
I need to change my shipping address Please help!,shipping
my account was locked after too many login attempts,account
I forgot my password and can't reset it This is urgent.,account
My notifications are not appearing,technical
THE FEATURE I NEED IS NOT WORKING PROPERLY THIS IS URGENT.,technical
How do I contact customer support? Thank you.,general
What payment methods do you accept? Thank you.,general
The mobile app won't sync with my account Thank you.,technical
MY SUBSCRIPTION AUTO-RENEWED BUT I CANCELLED IT THIS IS URGENT.,billing
i need help getting started this is urgent.,general
What payment methods do you accept? Please help!,general
"I CAN'T ACCESS MY ACCOUNT, IT SAYS ACCOUNT SUSPENDED THIS IS URGENT.",account
THE TRACKING NUMBER SHOWS DELIVERED BUT I DIDN'T GET IT THANK YOU.,shipping
I was charged for a service I didn't use Thank you.,billing
I CAN'T LOG IN WITH MY EMAIL ADDRESS PLEASE HELP!,account
"Hi, my credit card was charged twice for the same order",billing
I WAS DOUBLE CHARGED FOR MY SUBSCRIPTION THIS MONTH THIS IS URGENT.,billing
I received someone else's order I've been waiting for a response.,shipping
The API is returning 404 errors I've been waiting for a response.,technical
"hi, the billing date is incorrect on my account",billing
I'm getting a connection timeout error Thank you.,technical
i need to update my payment method,billing
THE API IS RETURNING 404 ERRORS I'VE BEEN WAITING FOR A RESPONSE.,technical
The app freezes when I click on settings,technical
The search function is broken,technical
Can I schedule a demo?,general
I'm experiencing lag when using the application,technical
the search function is broken this is urgent.,technical
I'm experiencing lag when using the application This is urgent.,technical
i need to cancel my order before it ships this is urgent.,shipping
Can I get expedited shipping? Please help!,shipping
i'm getting a connection timeout error this is urgent.,technical
i need to update my delivery preferences thank you.,shipping
The tracking number shows delivered but I didn't get it This is urgent.,shipping
MY ACCOUNT WAS LOCKED AFTER TOO MANY LOGIN ATTEMPTS THANK YOU.,account
Can you provide a new tracking number? Thank you.,shipping
the app keeps crashing when i try to open it this is urgent.,technical
what are your business hours? this is urgent.,general
Can I schedule a demo?,general
"hi, i can't log into my account, it says error 500",technical
THE WEBSITE IS LOADING VERY SLOWLY I'VE BEEN WAITING FOR A RESPONSE.,technical
Can I get expedited shipping? I've been waiting for a response.,shipping
I NEED A REFUND FOR MY LAST PAYMENT THIS IS URGENT.,billing
my order is stuck in transit thank you.,shipping
I need to update my payment method Thank you.,billing
"HI, THE BILLING DATE IS INCORRECT ON MY ACCOUNT",billing
"hi, the tracking number shows delivered but i didn't get it",shipping
I NEED TO VERIFY MY EMAIL ADDRESS PLEASE HELP!,account
The billing date is incorrect on my account Please help!,billing
I want to cancel my subscription and get a refund Please help!,billing
How do I contact customer support? Please help!,general
I NEED TO UPDATE MY PAYMENT METHOD THANK YOU.,billing
My order was shipped to the wrong address,shipping
the website is loading very slowly,technical
I NEED TO UPDATE MY PROFILE INFORMATION THANK YOU.,account
The delivery date keeps changing This is urgent.,shipping
I haven't received my package yet,shipping
I NEED TO VERIFY MY EMAIL ADDRESS,account
"HI, I'M INTERESTED IN UPGRADING MY PLAN",general
The mobile app won't sync with my account Thank you.,technical
I'M EXPERIENCING LAG WHEN USING THE APPLICATION,technical
The feature I need is not working properly Thank you.,technical
"Hi, do you offer discounts for students?",general
"hi, i need to change my email address",account
I can't find my account using my phone number I've been waiting for a response.,account
Can I get a prorated refund? This is urgent.,billing
i can't log in with my email address thank you.,account
"Hi, the website is loading very slowly",technical
I'M EXPERIENCING LAG WHEN USING THE APPLICATION PLEASE HELP!,technical
the app freezes when i click on settings,technical
"I can't log into my account, it says error 500 This is urgent.",technical
I was charged for a service I didn't use This is urgent.,billing
"hi, i was charged for a service i didn't use",billing
The delivery date keeps changing Thank you.,shipping
I can't download my reports I've been waiting for a response.,technical
I CAN'T DOWNLOAD MY REPORTS THIS IS URGENT.,technical
can i get expedited shipping? thank you.,shipping
Can I get a prorated refund? I've been waiting for a response.,billing
I NEED A REFUND FOR MY LAST PAYMENT THIS IS URGENT.,billing
I WANT TO MERGE TWO ACCOUNTS THIS IS URGENT.,account
"hi, i need to update my profile information",account
I have a suggestion for improvement This is urgent.,general
THE FEATURE I NEED IS NOT WORKING PROPERLY THANK YOU.,technical
I need to update my delivery preferences,shipping
THE APP FREEZES WHEN I CLICK ON SETTINGS THIS IS URGENT.,technical
my subscription auto-renewed but i cancelled it this is urgent.,billing
I need to update my delivery preferences This is urgent.,shipping
"Hi, can you explain how the pricing works?",general
I need to cancel my order before it ships Please help!,shipping
I want to delete my account Please help!,account
i was charged for a service i didn't use,billing
My order was shipped to the wrong address This is urgent.,shipping
the app freezes when i click on settings thank you.,technical
my account was locked after too many login attempts,account
"Hi, do you offer discounts for students?",general
I'm getting a connection timeout error Please help!,technical
can you explain how the pricing works? please help!,general
I want to learn more about your features,general
The app freezes when I click on settings,technical
I need to update my profile information,account
i'm interested in upgrading my plan please help!,general
I RECEIVED SOMEONE ELSE'S ORDER THIS IS URGENT.,shipping
My order is stuck in transit This is urgent.,shipping
I WANT TO CANCEL MY SUBSCRIPTION AND GET A REFUND,billing
I need help recovering my account Please help!,account
The package arrived damaged,shipping
i need help recovering my account this is urgent.,account
I NEED TO CHANGE MY EMAIL ADDRESS,account
can you explain how the pricing works? i've been waiting for a response.,general
"HI, I WANT TO CANCEL MY SUBSCRIPTION AND GET A REFUND",billing
i can't find my account using my phone number please help!,account
I haven't received my package yet Thank you.,shipping
"Hi, how do i cancel my account?",general
"HI, I CAN'T ACCESS MY ACCOUNT, IT SAYS ACCOUNT SUSPENDED",account
THE APP FREEZES WHEN I CLICK ON SETTINGS,technical
I WANT TO CHANGE MY USERNAME THIS IS URGENT.,account
THE APP FREEZES WHEN I CLICK ON SETTINGS PLEASE HELP!,technical
HOW DO I CONTACT CUSTOMER SUPPORT?,general
How do I cancel my account? This is urgent.,general
i want to merge two accounts this is urgent.,account
I need help recovering my account Thank you.,account
i need to verify my email address i've been waiting for a response.,account
I didn't authorize this payment This is urgent.,billing
The API is returning 404 errors I've been waiting for a response.,technical
My account was locked after too many login attempts Please help!,account
"Hi, i need to verify my email address",account
MY ACCOUNT WAS LOCKED AFTER TOO MANY LOGIN ATTEMPTS PLEASE HELP!,account
MY ORDER IS STUCK IN TRANSIT THANK YOU.,shipping
Can you explain how the pricing works? This is urgent.,general
I FORGOT MY PASSWORD AND CAN'T RESET IT PLEASE HELP!,account
The feature I need is not working properly I've been waiting for a response.,technical
Can you explain the charges on my bill? Thank you.,billing
The system is showing incorrect data,technical
I want to know more about your privacy policy This is urgent.,general
THE MOBILE APP WON'T SYNC WITH MY ACCOUNT THANK YOU.,technical
I need to cancel my order before it ships This is urgent.,shipping
I NEED TO CHANGE MY EMAIL ADDRESS,account
I want to provide feedback about your service I've been waiting for a response.,general
I want to know more about your privacy policy Please help!,general
Where is my order? It's been 2 weeks,shipping
THE APP KEEPS CRASHING WHEN I TRY TO OPEN IT THIS IS URGENT.,technical
My order was shipped to the wrong address Please help!,shipping
THE SEARCH FUNCTION IS BROKEN,technical
The tracking number shows delivered but I didn't get it Thank you.,shipping
I need to update my profile information I've been waiting for a response.,account
Why was I charged $50 when it should be $30? This is urgent.,billing
